mz,time,FS__blank11_pos,FS__blank15_pos,FS__blank7_pos,FS_CalCurve_blank2_pos,FS_CalCurve_blank3_pos,FS__BaldegerseeA_pos,FS__BaldegerseeB_pos,FS__Greifensee072A_pos,FS__Greifensee072B_pos,FS__Greifensee082A_pos,FS__Greifensee082B_pos,FS__Greifensee092A_pos,FS__Greifensee092B_pos,FS_CalCurve_AnaA_05_pos,FS_CalCurve_calmix_00005_pos,FS_CalCurve_calmix_0001_pos,FS_CalCurve_calmix_0005_pos,FS_CalCurve_calmix_001_pos,FS_CalCurve_calmix_005_pos,FS_CalCurve_calmix_00625_pos,FS_CalCurve_calmix_0125_pos,FS_CalCurve_calmix_025_pos,FS_CalCurve_CyanoA_05_pos,FS_CalCurve_MC_05_pos,FS_CalCuve_calmix_0025_pos
810.512471,994.2313177,NA,NA,NA,NA,NA,NA,1143537.868,558789.8434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810.5230971,1088.8638,NA,NA,NA,NA,NA,NA,188455.4546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204784.4733,NA,NA,NA,137684.8248
810.557793,913.101329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59088.10535,NA,NA,NA,NA,446169.5531,NA,NA,NA
811.309077,533.7232249,NA,NA,NA,NA,NA,NA,NA,1433100.282,1493346.524,1952240.31,1745543.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370312.5672,NA
811.3305363,531.207889,NA,NA,NA,NA,NA,NA,NA,9450203.314,8465479.397,11822101.02,11230942.03,NA,339966.0364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811.3945034,231.239988,NA,NA,NA,NA,NA,NA,NA,327421.5409,NA,NA,NA,843359.725,NA,NA,NA,NA,NA,NA,NA,125020.6543,NA,NA,NA,NA,NA
811.3943212,858.1720617,NA,NA,NA,NA,NA,1137497.905,NA,5405746.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811.4359373,346.0586165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59032.19658,NA,288633.2846,NA,NA,1143556.884,NA
811.4350454,448.8460569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5721703.525,9880178.161,NA,NA,NA,NA
811.444122,269.2553492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1419336.975,1537400.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811.4620226,332.0963882,NA,NA,NA,NA,NA,9471308.844,1129144.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811.5168281,1088.529228,NA,NA,NA,NA,NA,267538.1609,NA,NA,NA,NA,NA,NA,NA,1049805.274,NA,NA,NA,NA,137881.9054,NA,NA,NA,NA,NA,NA
811.8664015,618.3522646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500268.9395,NA,NA,NA,NA,NA,NA,NA,NA,250229.192,NA,NA
811.9016685,228.0137977,NA,NA,NA,NA,NA,NA,NA,324667.435,NA,NA,NA,532908.5967,1568925.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812.3336161,530.9297583,NA,NA,NA,NA,NA,NA,NA,4790722.018,3726900.109,6310645.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812.3974478,858.399684,NA,NA,NA,NA,NA,NA,2544195.016,NA,871476.8933,NA,NA,5338093.76,5833766.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812.3989873,232.3104421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196844.2624,NA,NA,NA,NA,NA,NA,NA,NA,54899.30141,39183.80472,NA,NA,NA
812.4392737,448.5901309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274694.8742,NA,3390139.232,3802106.483,NA,NA,NA,763623.043
812.4289848,347.7657122,NA,NA,NA,NA,NA,7381358.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390795.0982,NA
812.5884842,1042.23005,NA,NA,NA,NA,NA,700272.0881,154033.8355,3556133.013,1671541.988,1440140.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812.6101283,1088.715209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123387.632,NA,NA,811486.7553,NA
813.1254085,1112.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262296.2889,NA,NA,NA,NA,NA,NA,NA,495163.1346,168438.6261,NA,NA
813.2826411,653.9496604,NA,NA,NA,NA,NA,NA,NA,NA,NA,419015.7651,NA,NA,575546.3484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
813.3367891,530.971234,NA,NA,NA,NA,NA,NA,NA,NA,1169648.525,NA,1586577.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
813.3605976,959.9071819,NA,NA,NA,NA,NA,NA,NA,1100503.636,1286254.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
